objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,bark.jpg,,,Tree bark,Julia Flanders,2021,Tree bark,nature,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll003,bee.jpg,,,Bee on flower,Julia Flanders,2022,Bee on flower,nature,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll004,butterfly.jpg,,,Butterfly on flower,Julia Flanders,2023,Butterfly on flower,nature,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll005,centaurea.jpg,,,Centaurea montana flower,Julia Flanders,2024,Centaurea montana flower,nature,"Smithfield, Rhode Island",41.9,-71.533333,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
coll006,chihuly.jpg,,,Blown glass by Dale Chihuly,Julia Flanders,2025,Blown glass by Dale Chihuly,art,"Providence, Rhode Island",41.823611,-71.422222,Personal collection of Julia Flanders,,Image;StillImage,image/jpeg,,,
